author,genre,link,name,rating,viewed
Roots,"Comedy,Slice of life","A 4koma of what Roots does with his life, but portraying him as a girl with twintails","Jibun Ga Twintail No Kawaii Onnanoko Da To Omoikonde, Kyou No Dekigoto Wo 4Koma Ni Suru",3.2,"122,066"
Oku Hiroya,"Jin Kagetsu,Action,Drama,Historical,Seinen","The manga's story begins when a peasant named Hanbē asks a girl named O-haru for her hand in marriage, but O-haru confesses that she is already thinking of another man named Masakichi from a neighboring village. When Hanbē seeks out Masakichi, he finds that Masakichi possesses a sword and the skills to use it, despite being a peasant.",Gantz:e,4.65,"1,173,512"
Kuramaru Tatsuhiko,"Drama,School life,Seinen,Slice of life","Onoda Haruichi, who dedicates his youth to Math, distances himself from his surroundings for the sake of his goal. His goal is to represent Japan in the International Math Olympiad (IMO). On the first day of school, a girl who also loves math, Nanase Mami calls out to him. ""Do you like math?"" she asks. His solitary daily life starts to shine as he meets people through math?!",Mathematics Golden,4.39,"96,390"
Shimamura,"Comedy,Romance,School life,Shounen,Slice of life","Otaku schoolboy Arise Riku, who is solely interested in female anime characters, is a fan of Yu-Tan from the maid cafe. However, he comes to find that Yu-Tan is actually Maejima Yuuko and sits next to him in class. He decides to give up his feelings, but…",Class Maid,4.63,"854,518"
Shiryeong,"Action,Comedy,Fantasy,Supernatural,Webtoons","The villain is the main character and the main character is the villain. A fantasy story that takes place in the present time, following the shenanigans of a villain, his assistant and their underling(s).",End And Save,4.66,"1,280,652"
Watanabe Shizumu,"Adventure,Comedy,Drama,Fantasy,Romance,Shounen","In 2021, Harry Makito, genius magician, was holding a one time only retirement show in Tokyo when he burned to death in an unexpected accident. He was 17 years old. Or so one would think. But he lived, finding himself reincarnated 400 years earlier in Medieval Europe during the age of the Witch Trials! Now he fights against the church which unjustly brands women as witches with his tricks disguised as miracles. It's like real magic!",Tricks Dedicated To Witches,4.82,"865,929"
Murata Shinya,"Action,Drama,Horror,Psychological,Tragedy","Blattodea summary is updating. Come visit MangaNato.com sometime to read the latest chapter of Blattodea. If you have any question about this manga, Please don't hesitate to contact us or translate team. Hope you enjoy it.",Blattodea,4.41,"481,155"
Nishi,"Narusawa Kei,Action,Adventure,Comedy,Ecchi,Fantasy,Harem,Romance,Shounen","Once, a hero has been summoned to a different world in order to defeat the demon king. After the war stretching 3 years ended, the commendable hero slayed the demon king. And he was forcibly deported back to earth after being dismissed.""Give me a break!",Kaettekita Motoyuusha,4.54,"1,922,339"
Wo Chi Xi Hong Shi,"Action,Adventure,Fantasy,Martial arts","In the Year 2056, a teenager clad in a tactical vest, combat pants, and alloyed combat boots sat atop a ruined and shattered six story apartment building. The building lies in a Prefecture-level city in the Original Jiangsu area. With a Hexagonal Shield and a Bloodshadow Combat Sword on his back, the young man sat silently on the edge of the roof. Under the brilliant hue from a starry night, it brought forth a breath of fresh air as the night breeze caressed his body. However, within this now ruined city, all was silent… all except for the occasional chill-inducing howls…",Swallowed Star,4.58,"8,540,569"
Action,"Fantasy,Shounen,Supernatural,Webtoons,Manhwa","""You must become the greater evil to fight against the real evil!""",Villain To Kill,4.83,"7,337,765"
Takatou Rui,"Action,Adult,Comedy,Drama,Ecchi,Martial arts,Seinen","This is the story of Misora Haebaru, an 18 year old karate expert from Okinawa who went to Tokyo to enter the entertainment industry in hopes of supporting her family. She gets tricked into being a gravure idol who wears lewd clothing and is forced eventually to enter the AV world, but she wont go down without a fight.",Hagure Idol Jigokuhen,3.45,"10,915,398"
Kasoku,"Josei,Romance,Smut","""The face you make when you're turned on is so cute, Koto."" With sweet words and unrelenting caresses, he's driving her to the edge...",Kiss Ni Oborete Aisarete,4.12,"429,602"
Nakahara Aya,"Comedy,Drama,Shoujo","The comedy story follows Mai and Kurumi — two polar opposites who act friendly onstage as the hit singing duo ""Star Berry,"" but bicker offstage. What Mai really wants to become is a rock singer, but the easily flustered Kurumi would rather sing idol songs.",Berry Dynamite,4.07,"100,425"
원작 제로빅,Action,"An era where hunters thrive on hunting monsters that come from Gates. Jin Tae-Kyung is a low-rank hunter who picks up a VR machine, and accidentally logs into the game, which is set in the world of Martial Arts. After many ups and downs, Tae-Kyung is able to escape this world. The strength and skills, which he received in the Murim were able to be carried over back to the real world. This allows him to continue making a living a hunter… but he decides to return back to the world of Murim, out of care for his NPC friends.",Murim Login,4.31,"14,161,765"
제스트쿄,"Zestkyō,Comedy,Drama,Historical,Romance","Leah, the eldest daughter of the Hildebrandt family, is very popular in society for her beautiful appearance and good manners, but she has a problem she can’t tell anyone about. Her brother, Richt, who was the heir to the family, left behind a letter saying he would come back after becoming a great man. As it is not known whether Richt is dead or alive, and since her father suddenly dies, Leah decides to find a partner for a political marriage in order to support herself and retain her family’s position. However, something that starts as a mere political trick turns out to be fate!",Bring The Love,4.88,"2,967,747"
Charcoal,"Action,Comedy,Drama,Fantasy,School life,Webtoons","On a continent protected by four witches stands Winfred Academy, a prestigious school of magic. When an incident occurs at the school, Anz finds himself right in the middle of it…
Original Webcomic",Anz,4.49,"3,138,556"
Bilibili,"Liangzhizhu Studio,Comedy,Fantasy,Harem,Romance","An elite investor crossed over into a game world... to become the demon religion's hierarch? How could one respond to the pleas of the demon religion mistresses? Obviously, going down the path of domination in this new world!",The Hierarch Can’T Resist His Mistresses,4.17,"388,697"
Satou Masashi,"Action,Drama,Shounen","Unlike other manga series, Yu-Gi-Oh! OCG Structures revolves around game play to show readers how to play the card game, as well as giving tips on crafting decks.",Yu-Gi-Oh! Ocg Structures,4.54,"460,864"
Ui-Kwon Kim,"Action,Fantasy","A boy who is bullied, and forsaken, is chosen by a sword that falls from the sky.",Rooftop Sword Master,4.77,"11,133,626"
Ke Xiao,"Horror,Mystery,Webtoons","Resentment from another's unwillingness? Or is it my own? After an incident, Ye Limei, a student of sculpture, finds herself stalked by a resentful spirit in one of the sculptures in the boarding school. Supernatural and unstoppable events start occurring one after another... After Ye Limei discovers the secret behind the sculpture, she instead uses the power to her own advantage -- killing those she had long held a grudge against. With each bout of satisfaction, her mind slowly gets consumed by the spirit of enmity.",The Cursed Sculpture,4.3,"1,103,349"
Yuzuki Komugi,"Comedy,Romance,School life,Shoujo","A stranger suddenly confesses to Kokoro in public, and having no experience in love, she ends up accepting. But who is this guy? Someone serious about sports couldn't be someone strange, right? A love at first sight relationship is about to begin!",Hatsukoi Maze,4.85,"203,313"
Fire Culture - Hu Jing - Luo Jie,"Fantasy,Harem","After the Princess died, the soul entered a life-betting game! She will be the famous Pea Princess and other princesses in a fairy tale who will pursue the only prince. Only a princess who has successfully married a prince can return to the real world and continue her life and receive a huge bonus! How can she fight powerful princesses to capture the prince’s love? !",Princess Wars,4.62,"2,114,771"
Feng Nong,"Huang Feng,Drama,Historical,Romance,Shounen ai,Yaoi","Once revered as a prince, he is now reduced to such a predicament... The saying ""The royal family, a family of cold-hearted killers"" is like a quote from a nightmare, hanging over the palace chambers till now.",The Crown Prince,4.43,"678,646"
Hashiba Mizu,"Comedy,Josei,Romance,Smut","""I'm already overflowing like this... I'll just shove it in.""
""Manager... more... I mean.. Ahh!""
Kiyoko (33) a female banker, who was about to get married, suddenly got her engagement cancelled. It was an old enemy and Manager, Samejima, who consoled Kiyoko in her disappointment.
We were getting drunk, and then I found myself in bed and getting really crazy...
The hot and hard part of the Manager, who was difficult to get close to, stimulated Kiyoko's innermost body, and she enjoyed unbelievable pleasures.
The next day, when I thought all of it was just a one night thing, the Manager declared, ""I already registered our marriage."" ?!!",Omae No Subete Wo Daki Tsukusu,4.36,"2,938,360"
Kaishinshi,"Scarlet Rain,Adventure,Comedy","True Vampires household who has the ability to transcend other races and once reigned as the ruler of the Ephenia continent!<br><br>Among them, the young princess, Ristia, who has the “Strongest” power, woke up after sleeping for 1000 years and revived in a different world, that is the present day!!<br><br>Her purpose is...wanting a cute little sister!!<br><br>Even in the different world, Ristia’s ability is overwhelmingly superior and the surrounding people can only be astonished at how easy the job that she does…<br><br>Now, can Ristia become an ordinary girl and get a cute little sister...!?<br><br>A fantasy story of an overwhelmingly strong vampire princess who is searching for a sister while behaving recklessly and running around noisily!",Saikyou No Kyuuketsuhime Wa Imouto Ga Hoshii!!,4.53,"343,337"
老狗，刺猬猫阅读，新热血,"Action,Comedy,Fantasy,Romance","With my wife's breathtaking beauty, not even the newly enthroned empress can match her! With my wife's marvelous culinary skills, not even the empress's royal chefs can match her! My wife loves me and cares about me very very much, and I wouldn't trade her for even the empress! Wait, what? My wife is the empress?!",My Wife Is Actually The Empress?,4.75,"3,584,435"
Tsuyatsuya,"Adult,Drama,Romance,Seinen","Rakujitsu no Pathos summary is updating. Come visit MangaNato.com sometime to read the latest chapter of Rakujitsu no Pathos. If you have any question about this manga, Please don't hesitate to contact us or translate team. Hope you enjoy it.",Rakujitsu No Pathos,4.31,"21,684,119"
Akito Aihara,"Comedy,Cooking,School life,Seinen","In the near future a pandemic spreads around the world, so people hiding their mouth with a mask has become the norm. Natsuki, a girl who is secretly reminiscent of the world before the pandemic, and Hata, her classmate, suddenly become friends and share a small secret. This is the story of two ""extraordinary"" people living in the world of the ""new ordinary""!",New Normal,4.31,"543,338"
Minami Tamano,"Zenoshin,Ecchi,Harem,Sci fi,Seinen,Smut,Supernatural","Shiba, a college student with a communicative disorder, has been reading rumors circulating on Internet forums about women 'clones', which look like a human, but are not actually a human! Instead they are perfectly obedient to their owner's orders and fulfill every desire! This should have been hastily dismissed as an urban legend but then an incident started when Shiba was hospitalized after an accident...",Products,4.29,"1,197,447"
Haruki,"Adult,Comedy,Ecchi,Mature,Romance,School life,Seinen,Smut",She's a teacher in training and the only female at this newly established boy's school. As expected she get's a lot of attention but how will the rather green and inexperienced teacher react when they boys begin to want 'more' from her...?,First Teacher,2.67,"3,016,764"
非礼酱,"Romance,School life","She has a crush on her. So, she makes the first step and leaves her with a cute kiss. Except, they’re both clueless about each other’s intentions! GL with LGBTQ+ side characters as well!",Afterschool Adventure,3.58,"28,468"
Shinozaki Touma,"Mitsuya Akira,Action,Ecchi,Fantasy,Harem,School life,Seinen,Smut,Supernatural","In the world of the Goddess Wellos, women are blessed with strength and good looks and men with good luck after sex. The women who gain this godly strength and good looks become a Paladin and participate in battle and the men support the Paladins as Chevaliers. in Lente village, Kite, the son of a blacksmith, is a boy with a very strong libido. Former Paladin Lilia identifies him as a chevalier candidate and encourages him to join the Royal Academy in the capital to become a Royal Chevalier.s",Sacred Chevalier,4.53,"997,806"
Kangneuk,"Comedy,Fantasy,Mature,Smut,Sports,Yaoi,Manhwa","One very lucky morning, Ho-in accidentally bumps into Chunwoo on his way sprinting full speed to class. To Ho-in's dismay, he also manages to spray pickle juice all over him later the same day. Ho-in follows Chunwoo to his place to make up for his mistakes, but somehow wakes up in Chunwoo's bed the next morning... Leading to one lucky (?) encounter after another!",Lucky Paradise,3.54,"997,732"
목감기,"하리힌,Romance,Shoujo",I have transported as civilian 1 into the “tragic novel” I wrote with my friends for fun. Since he declares revolution in order to change his daughter's unhappy future. If I leave it like this then many lives are in danger. “I will protect the female lead!” That's how I started to live with the daughter stupid duke. But the small female lead is a bit strange for some reason.,Éminence Grise Female Lead Is Trying To Make Me Her Stepmom,4.7,"784,512"
北暮流火,"Action,Comedy,Fantasy","10 years after the meteorite hit earth, S starts to face Monsters that they have never seen before, Zuo fan, had a title [ traitor's child ],among all of the level 1 star Warrior the most useless one escaped, he awaken in a scheme plot by someone while hunting the monsters on the battlefield, he awakened a system! Since then he started to walk on the path to find the reason and truth behind his father being a traitor, gradually his path changed to saving the world",Rise From The Rubble,4.68,"2,207,802"
Chaos,"Action,Adventure,Drama,Fantasy,Martial arts,School life,Supernatural,Tragedy",Summary:,Versatile Mage,4.83,"173,813,453"
Updating,"Adult,Adventure,Comedy,Cooking,Fantasy","A growing period of experiencing the five senses in [Real.], a virtual reality game, while cooking and adventure and re-challenging the chef's dream in re-ability.",Please Have A Meal,4.83,"1,149,783"
Akiko Higashimura,"Drama,Gender bender,Historical,Seinen","The life of daimyo Uesugi Kenshin commanded authority and fear during the Sengoku period of Japanese history. In this retelling, the powerful lord is reimagined as a woman.",Yukibana No Tora,3.69,"99,705"
Nightow Yasuhiro,"Action,Adventure,Comedy,Drama,Sci fi,Shounen,Supernatural","Three years ago, a gateway between Earth and the Beyond opened over the city of New York. In one terrible night, New York was destroyed, rebuilt, and rechristened Jerusalem's Lot, a paranormal melting pot where magic and madness dwell alongside the mundane. The mysterious super-agents of Libra fight the impossible to prevent the unthinkable.",Kekkai Sensen - Back 2 Back,4.8,"941,233"
Chaeban,"Drama,Historical,Romance","Hanna, a Chef of a famous restaurant in London was one of the bomb terror victims. When she woke up, she became Choi Songyi, the daughter of a minister war affairs of the Joseon Kingdom. The Crown Prince of the Joseon kingdom, Lee Pyo has a extraordinary talent. His sense of smell and taste are very sensitive, he never forgets the taste and aroma of the food he only eats once. What will happen if both of them meet?",Please Eat Without Hesitation,4.45,"54,697"
Mu You Zi,"Action,Webtoons","His goal is only one, the world champion!",Legend Reboot,4.42,"4,096,870"
Amazing Works,"Action,Horror,Shounen,Supernatural,Manhua","Zuo Tianchen is the last living human in a mutated zombie-infested city. Just when he was sure he’d died, he finds his soul returned to just before that ill-fated day ten years ago. He swears he’ll protect the people important to him this time round and reunite with his past lover. Watch his struggles to survive equipped with his memory of the next ten years!",Moshi Fanren,4.6,"92,905,541"
Young Dream,"Fantasy,Historical,Romance","This is a story about: a female lead who transforms into a child after losing her virginity, her identity switches between an adult and a kid. With the crown prince who has a dual personality too, there's equal parts love and bite.",Pet The Little Princess,4.54,"153,768"
Updating,"Action,Adventure,Fantasy,Romance","The pathfinder searches for the “path” that grants wishes. It's great that Garam, an ordinary student leaves the world with impulsive thoughts but,When she comes back, the world became a ghost town where all the people and animals have disappeared.To find his/her family and have the world back the way it was, she must find a “path”You could be swept away by an avalanche in the mountains, Deep seas where it is difficult to breath, hellish labyrinths, and more.This is a series of hardships to find the paths that are in dangerous places",Pathfinder,4.35,"394,113"
Drunk,Drama,"In front of detective Dobin Kim, who has the ability to ‘open’ anything, a criminal ‘locker’ who ‘locks’ anything appears. The ‘opener’ struggles to catch the ‘locker’ in front of the important truth, one-of-a-kind relationship, and ‘locked up’ of a genius talent helplessly…!",Locker Opener,4.35,"196,462"
白神动漫,"Fantasy,Smut,Webtoons","Ning Shu died, but in a twist of luck she became a Miserable Cannon Fodders’ Counter-Attack agent. Eventually, Ning Shu goes through one world after another, playing the roles of all sorts of characters, meeting all sorts of scum men. Ning Shu roared, all you scum men, I’m just here to counter-attack, please do not hinder me from accomplishing my mission. If you hinder me, I’ll torture all of you human scums to death!",I Make Scum Men Cry,3.16,"834,378"
싱난다,"Comedy,Drama,Fantasy,Romance",The story of three Koreans inside a novel!,Romance Fantasy Comic Binge,4.77,"301,486"
Wann,"Comedy,Fantasy,Romance,Slice of life","Next to impossible coincidences seem to be connected to a shared dream… Is this destiny? Chayee springs out of bed after one of the most realistic and steamy dreams she’s ever had. After bringing herself back to reality, she goes to work as a T.A. at her former university. But, while on an errand for her professor, she meets Dohun and gets the shock of her life. He… seriously resembles the man she spent a hot night with in the dream. She finds herself unable to face him since every glance brings back the very realistic feelings of the night before! “By any chance, have we… met before?” Dohun also has unexplainable feelings of discomfort towards Chayee and puts as much space between them as he can. But, no matter how hard they try, fate keeps dragging them back towards each other. What’s going on?! When dreams and reality intertwine, anything can happen!",Survival Marriage,4.68,"1,261,987"
Jooara/juara (주아라),"Fantasy,Romance,Shoujo","I woke up one day inside the story of a novel as the maid of the disgraced duke and side character, Alejandro Quillo Vel Laviti. Will Alejandro’s fate change with the appearance of a new ‘extra’ character? What is the truth behind his cursed mark?",Sincerely: I Became A Duke's Maid,4.74,"21,354,032"
Ranzai Studio,"Action,Fantasy,Martial arts,Shounen","Apotheosis - elevation to the status of a god. Luo Zheng, now a humble slave was born as the eldest son of a wealthy family. Due to his family's decline, the kidnapping of his sister by a powerful force, he can now only be stepped upon by others. However, heaven never seals off all exits. An ancient book left by his father reveals a secret divine technique, giving the reader immense power! But what is behind this power? This is a contest against fate.",Apotheosis,4.96,"179,355,491"
The King (时代漫王),"Action,Adventure,Fantasy,Romance,Sci fi","One moment oppressing scum yields a moment of satisfaction. Continuously oppressing scum yields continuous satisfaction. Our female main lead, Su Lüxia is bound to the Female Lead Counterattack System and transmigrates to several small worlds. Using elaborate means, she beats up countless cheating bastards and bitches. Su Lüxia: ""Only a cheating bastard's tears of remorse, and the pained moans of a bitch unable to get what she wants bring me solace."" System: ""Has my host tapped into her humanity today? Nope.""",Cheating Men Must Die,4.57,"24,363,854"
Kachiki Hikaru,"Comedy,Drama,Romance,School life,Shounen,Slice of life,Sports","Maruo Eiichirou (Ei-Chan), a first year honor student, one day decides he's unhappy with the way things are and lacks exercise. His mother gives him a flyer for the local Tennis Club and he decides to check it out. He's instantly captivated by it. With no prior experience and poor physical conditioning, join Ei-Chan as he embarks on a tennis journey using his smarts, dedication and work ethic.",Baby Steps,4.63,"17,443,375"
Yeom-Ra,"Fantasy,Shoujo","I'm the first human created by God. As I took for granted the love that I received, I never gave love to others.",You Can’T Change A Person!,4.88,"984,568"
Updating,"Drama,Romance,Webtoons","During an exquisite banquet, her fiance kneeled and asked for her sister’s hand in marriage. She was stripped of her inheritance and became a pawn for the Xi family. Her heart hardened like steel, and she thrust a knife into her own chest to try and bury all of her anger and sorrow. Then, in the blink of an eye — Mu Yuchen, the handsome, cold CEO of Shengshi Group who dominated City Z — appeared before her. She asked: Mu Yuchen, will you marry me?","Fiery Boss, Control Yourself!",4.09,"1,137,669"
Nakano,"Zawa,Comedy,Romance,Shounen,Slice of life","Nogami kei is a high school boy who writes novels online for fun. But one day, his secret was discovered by the famous rich girl in school, Houjou Urara...! On top of that, she blackmails him into writing a romance novel for her own enjoyment... but in reality, Houjou was just a fan of his work!? And things continue to get complicated because Houjou can't be honest with what she says, which causes misunderstandings...?",Houjou Urara No Renai Shousetsu O Kaki Nasai!,4.72,"330,673"
Nadeshiko Yamato,"Comedy,Romance,Shounen,Slice of life","A romantic comedy where Tomoyuki is married to a demon for a wife, a literal honest to goodness demon.",What I Get For Marrying A Demon Bride,4.76,"2,144,605"
Kurou Ooma,"Takashi Watanabe,Comedy,Fantasy,Shounen,Slice of life,Isekai","Suzuki Saburo is the typical isekai MC. A high school boy who started to get into cooking after getting an injury during baseball, he suddenly found himself in another world one day. With the only thing on his person being his custom knife, he wandered a desolate prairie for three days before falling unconscious. <br><br>When he woke up, he found that a nomadic tribe of elves took him in. However, there’s one big problem — the tribe has terrible cooking. Can Saburo help teach the nomadic elves the true meaning of deliciousness?",Mazumeshi Elf To Youbokugurashi,4.69,"3,676,365"
Hinachi Nao,"Comedy,Romance,Shoujo",(FROM: Sekai Scans),Kameba Kamu Hodo Amaku Naru,4.74,"164,125"
Second Week Comics,"Action,Fantasy,Romance","Yang Yiyun, a mortal at the bottom layer, occasionally obtained the Supreme Treasure Universe Pot, and was inherited from the wild immortals. Since then, he has stepped into the path of cultivation. Medical skills, martial arts, and immortal methods have blossomed. The story of becoming a god.",My Master Is A Deity,4.58,"4,480,719"
Yudzuki Seiya,"Tsukimoto Asuka,Fantasy,Romance,Shoujo,Slice of life,Supernatural","A high school girl reincarnates in another world as Lily. While she occasionally reminisces about her past life, she is now known as ""the Maid of the Royal Family,"" after helping to rear the lady who eventually married the crown prince. One day, the court magician Leonard suddenly requests that she acts as a mother for his adopted daughter Jill.",From Maid To Mother,4.8,"7,171,540"
Ishizuka Chihiro,"Comedy,Fantasy,Shounen,Slice of life,Supernatural","Kowata Makoto is an airhead with a bad sense of direction who just moved into her relative's house, but is that all? A manga about the coming of age of a witch in modern day Japan.?",Flying Witch (Ishizuka Chihiro),4.83,"2,912,084"
Guaixiaoshou Manhua,"Historical,Romance,Webtoons","[Adapted from webnovel of the same name] In her previous life, she was betrayed and died. After transmigrating, her lonely soul fell upon the body of Xi Liangmo who suffered the same fate. She vowed to make those who harmed her pay, one step at a time. Breaking the legs of her insidious sister, forcing her pretentious stepmother to die, betraying her callous father. An unscrupulous husband? Then she’ll just abandon and leave him, remarrying. But why does that villainous eunuch prince insist on marrying her? Although you got the looks of a deity, you’re still a eunuch! They force her to become a eunuch’s wife, then she’ll become the number one heinous tyrant wife!",The Eunuch's Consort Rules The World,4.61,"1,192,697"
Lu Fei,"Fantasy,Martial arts,Manhua","For the wine to be drunk on her wedding night to actually have been a cup of poison and for the one to poison her to be her husband, who would believe it? But such a thing had happened! And that was just the beginning of her bad luck. On her wedding night, she goes from a new bride to an abandoned wife, and in the blink of an eye, she become a princess married off into the wilderness of the frigid North. Though she is still a bride, but whereas previously she was envied by everyone, now she only receives pity. To preserve the life of another beautiful woman, she is exploited and becomes a dispensable pawn. But she is not a weak person to be at anyone’s mercy. She will control her own fate!",Feng Ni Tian Xia,4.65,"29,308,172"
Mochi,"Koppamu,Adventure,Ecchi,Fantasy,Harem,Romance,Seinen,Smut","The Magician named Yard was suddenly summoned in different world as a Hero. The sorcery in this world is behind compared to Yard who came from another world. The other summoned heroes are also unreliable. Furthermore, it is not possible to return to the former world... In such a hopeless situation, Yard chuckles to himself. Get ready, humans of this world. This world where witchcraft is behind. I have enormous toy in this box. allow me to play with it. The Villainous magician named Yard tramples down the other world with overwhelming Dark magic!",The Other World's Wizard Does Not Chant,4.48,"8,852,127"
Kim Soon Dol,"Action,Fantasy,Romance,Tragedy,Webtoons","Born as a spirit medium, Tae-nam has lived and escaped ghosts. She lived a limited life under the protection of her grandmother, a shaman, but she finally found her freedom when she went to a university. In addition, the guardian spirit of a person, whom she met at the entrance ceremony, is a god with general-level ability to exorcise the surrounding ghosts, and will Tae-nam enjoy free college life with holiness?",The Mirage That Reaped At Night,4.33,"27,965"
Azu,"Comedy,Romance,Shounen","High-school student Suou Amadera has gone big brain and quit real life! Why waste time and money on real friends when you can browse the internet all day, every day? But suddenly, a mysterious girl appears, and with her saintly patience she shows Suou that maybe, friends in real life aren't so bad after all... Join us for the new ""friendship comedy"" by the author of the acclaimed ""Tejina-senpai""!",Kenja Ga Nakama Ni Natta!,4.73,"914,084"
Shiori Hanatsuka,"Cooking,Romance,Seinen,Slice of life","When 30-year-old Kenta meets stoic graphic designer Chihiro, he sears her cool exterior with his passion for barbecue! Now, after a flash of a courtship, they're newlyweds! Though their jobs keep them apart, they still have weekends together to grill, and fine meat isn't the only thing heating up in this sizzling relationship!",A Rare Marriage: How To Grill Our Love,4.86,"2,534,826"
Yoshida Mutsumi,"Comedy,Romance,School life,Shoujo,Supernatural",A demon named Shion came to the human realm because of a trial that will decide who'll be the king of the underworld. However what he needs to do to prove himself worthy of such title may prove to be too difficult for Shion...?!,Kanojo Ga Kawaii Sugite Ubaenai,4.7,"249,607"
Seo Kouji,"Comedy,Ecchi,Harem,Romance,Shounen","Kasukabe Hayato has been accepted to Tokyo U on his first try. Receiving news of his grandmother's death, he returns to his childhood home, Cafe Terrace Familia, for the first time in three years to find five strange girls there who claim to be ""Grandma's Family""! Hayato's unexpected life in a seaside town with these five girls of fate begins here!",Goddess Café Terrace,4.64,"820,686"
Tsukasa Monma,"Yoshiki Kanata,Action,Adult,Drama,Ecchi,Historical,Mature,Psychological,Romance,Seinen","The fourth year of the Meiji Era. Yukinosuke, the son of a family of the privileged aristocratic class, goes about his life covering up a worry he has, being “I have not once had an erection”. In the midst of such troubled days, he meets Sayo, the head of a family of executioners spanning back into the Edo period. After witnessing a beheading performed by her, something pitch black starts to well up inside Yukinosuke!! Sprouting from lust begins a noble romance of blood and nature!!","If You Do Not Behead, You Cannot Understand",4.12,"315,337"
Riku Koucha,"Hikari Minami,Josei,Romance,Smut","Yui is a humble, cute, and popular salesperson at a department store jewelry shop. There are countless men who have feelings for her, but there are secret rumours that at closing time a ""knight"" comes to see her off. Her ""knight"", an elite trading company employee, conceals his love for Yui for some reason, and watches over her as the closest person in her life. However, after the appearance of a certain male customer, this ""knight"" becomes her controlling, blindly infatuated boyfriend...? ""It may be embarrassing, but I want to see all of you, Yui... Will you stay like this, and be mine, and mine alone?? She melts for her childhood friend turned lover... Why? Even though it's a little scary, why is it she wants it even harder...!?","Yasashii Knight Wa, Mou Yameru. ~Gokuama Osananajimi No Dokusen Yoku Ni Zuppuri Hameraretemasu",4.25,"1,050,154"
Gyokuro,"Himeno Meno,Comedy,Fantasy,Romance,Shoujo,Slice of life",Guy reincarnates into the gardening apprentice who works for the rival character of the heroine of an otome game.,Otome Game No Mobu Desura Naindaga,4.85,"2,660,778"
Amasaki Iroha,"Adventure,Drama,Ecchi,Romance,Shoujo ai,Slice of life,Smut,Webtoons,Yuri","Momoka who has become an arasa with zero romance experience. Frustrated by this situation, she discovers the existence of ""lesbian sex"" while searching for an online encounter. Momoka decides to use it, but she is attracted to her by having sex with a lesbian sex girl ""Riko"" who appeared at the meeting place, but she has a secret ...?",Suimitsutou Ha Shoujo Ni Kajirareru,4.21,"1,673,533"
작가 Ttadu,"Adult,Drama,Romance,Slice of life,Smut,Webtoons,Yaoi,Manhwa","Min-seong and Jian become brothers after their parents remarry. Eight years later, Min-sung, who has turned twenty-six, is working as a food stylist, and his younger brother, Jian, who has turned twenty-three, is working as a model.
Minseong, who spent a little bit radical school days, deteriorates his eyesight due to the influence and manifests itself as an omega. Ji-an is unusually obsessed with Min-Sung, and the two develop between soothe each other's hits. Minsung, who regarded his younger brother Jian's persistent obsession as just his younger brother's cute grievances, realizes that there is a little problem between the two and tries to distance himself. The relationship between the two gradually deviated, and as the history of Minsung's past buried here approaches, the relationship between the two becomes more catastrophic.",Haven,3.72,"509,011"
Ergen,"Cal,Action,Adventure,Fantasy,Martial arts,Shounen,Webtoons,Manhua","Saints, the most formidable beings under the heaven.This history follows Tie Zhu as he entered one of the elit schools: Heng Ye School and work his way toward of being a saint. But there´s a small problem, Tie Zhu has no talent and he is knowned as a ""trash"". So this is also a story of how hard work can beat talent.",Xian Ni,4.53,"17,486,249"
Type-Moon,"Action,Adventure,Fantasy","Fate/Grand Order From Lostbelt summary is updating. Come visit MangaNato.com sometime to read the latest chapter of Fate/Grand Order From Lostbelt. If you have any question about this manga, Please don't hesitate to contact us or translate team. Hope you enjoy it.",Fate/grand Order From Lostbelt,4.75,"106,997"
Keum Ho,"Action,Adventure,Comedy,Drama,Fantasy,Shounen","Would you like to find a job? Even at the cost of your soul? If so, then you’ve found the right place. Our job hunting advice website, Soul Sellers, is a site geared towards those willing to even sell their souls for employment; that’s right, people like you. Are you dealing with angels or demons?",Other World Warrior,4.48,"36,604,320"
Cheongcho,"Action,Adventure,Comedy,Fantasy",If I can success it's OK to use bugs or any possible way! A story of reincarnated ultra-high obesity young lord.,Bug Player,4.79,"33,266,883"
Okura,"Comedy,Shounen,Slice of life",A single mother starts suspecting one of her sons might be gay.,My Son Is Probably Gay,3.88,"1,979,644"
Eguchi Ren,"Masa,Action,Adventure,Comedy,Fantasy,Shounen","Tondemo Skill de Isekai Hourou Meshi summary is updating. Come visit MangaNato.com sometime to read the latest chapter of Tondemo Skill de Isekai Hourou Meshi. If you have any question about this manga, Please don't hesitate to contact us or translate team. Hope you enjoy it.",Tondemo Skill De Isekai Hourou Meshi,4.85,"17,853,003"
Inoue Koharu,"Comedy,Mystery,Romance,Supernatural,Tragedy","A Duke was cursed by a witch to kill everything he touches. Unable to handle this curse his parents send him to live in a far off manor. As his maid and childhood friend now teases him everyday, he wishes more than anything to rid himself of the curse.",The Duke Of Death And His Black Maid,4.75,"15,811,966"
